match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.1,Romania,Bulgaria,Irfan Ringku,R Satheesan,O Duff,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.2,Romania,Bulgaria,Irfan Ringku,R Satheesan,O Duff,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.3,Romania,Bulgaria,Irfan Ringku,R Satheesan,O Duff,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.4,Romania,Bulgaria,Irfan Ringku,R Satheesan,O Duff,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.5,Romania,Bulgaria,Irfan Ringku,R Satheesan,O Duff,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.6,Romania,Bulgaria,Irfan Ringku,R Satheesan,O Duff,0,2,2,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.7,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.8,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.9,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.10,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.11,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,0.12,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,1,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.1,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.2,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.3,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.4,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,1,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.5,Romania,Bulgaria,Irfan Ringku,R Satheesan,J Dowling,6,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.6,Romania,Bulgaria,Irfan Ringku,R Satheesan,J Dowling,1,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.7,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.8,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,4,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.9,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,1,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,1.10,Romania,Bulgaria,Irfan Ringku,R Satheesan,J Dowling,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,2.1,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,2.2,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,6,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,2.3,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,4,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,2.4,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,1,1,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,2.5,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,2.6,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,4,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,2.7,Romania,Bulgaria,R Satheesan,Irfan Ringku,O Duff,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,3.1,Romania,Bulgaria,Irfan Ringku,R Satheesan,J Dowling,1,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,3.2,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,0,1,,1,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,3.3,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,6,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,3.4,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,1,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,3.5,Romania,Bulgaria,Irfan Ringku,R Satheesan,J Dowling,1,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,3.6,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,3.7,Romania,Bulgaria,R Satheesan,Irfan Ringku,J Dowling,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,4.1,Romania,Bulgaria,Irfan Ringku,R Satheesan,M Gogev,2,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,4.2,Romania,Bulgaria,Irfan Ringku,R Satheesan,M Gogev,0,0,,,,,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,4.3,Romania,Bulgaria,Irfan Ringku,R Satheesan,M Gogev,0,1,,,,1,,,,,
1534592,2026,2026-05-09,"Moara Vlasiei Cricket Ground, Ilfov County",1,4.4,Romania,Bulgaria,R Satheesan,Irfan Ringku,M Gogev,1,0,,,,,,,,,
